Row Labels,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,(blank),Grand Total
1980,31,27.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,364
1981,31,21.0,,,,30.0,31.0,31.0,29.0,31.0,30.0,31.0,,265
1982,31,28.0,31.0,30.0,31.0,30.0,31.0,31.0,29.0,31.0,30.0,31.0,,364
1983,31,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,29.0,31.0,,364
1984,31,29.0,31.0,30.0,31.0,29.0,31.0,31.0,29.0,31.0,30.0,31.0,,364
1985,31,27.0,26.0,30.0,,19.0,31.0,31.0,29.0,30.0,28.0,31.0,,313
1986,31,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,365
1987,31,27.0,31.0,30.0,31.0,30.0,31.0,31.0,29.0,31.0,30.0,31.0,,363
1988,31,28.0,30.0,24.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,358
1989,31,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,365
1990,31,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,365
1991,31,27.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,364
1992,31,11.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,348
1993,,,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,306
1994,31,23.0,3.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,29.0,,330
1995,30,28.0,31.0,29.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,363
1996,31,29.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,366
1997,31,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,365
1998,29,,29.0,29.0,23.0,30.0,31.0,31.0,30.0,17.0,30.0,31.0,,310
1999,31,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,365
2000,31,29.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,366
2001,31,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,365
2002,31,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,365
2003,31,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,,,334
2004,31,29.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,366
2005,31,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,365
2006,31,23.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,360
2007,31,28.0,31.0,30.0,31.0,,31.0,31.0,30.0,31.0,30.0,31.0,,335
2008,31,29.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,30.0,,365
2009,31,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,365
2010,30,28.0,31.0,30.0,31.0,29.0,31.0,31.0,30.0,30.0,,,,301
2011,31,28.0,31.0,29.0,31.0,30.0,31.0,,30.0,31.0,30.0,31.0,,333
2012,31,,,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,30.0,,305
2013,30,28.0,31.0,30.0,30.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,363
2014,31,28.0,31.0,30.0,31.0,29.0,31.0,31.0,30.0,31.0,30.0,31.0,,364
2015,31,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,29.0,31.0,,364
2016,31,29.0,31.0,30.0,31.0,29.0,31.0,31.0,30.0,31.0,30.0,31.0,,365
2017,31,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,365
2018,31,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,365
2019,30,28.0,31.0,30.0,31.0,30.0,31.0,30.0,30.0,31.0,30.0,31.0,,363
2020,31,29.0,31.0,,31.0,30.0,30.0,31.0,30.0,,30.0,31.0,,304
(blank),,,,,,,,,,,,,,
Grand Total,1234,1033.0,1173.0,1161.0,1200.0,1185.0,1270.0,1239.0,1225.0,1224.0,1196.0,1205.0,,14345
