Row Labels,DRF01,DRF02,DRF03,DRF04,DRF05,DRF06,DRF07,DRF08,DRF09,DRF10,DRF11,DRF12,DRF13,DRF14,DRF15,DRF16,DRF17,DRF18,DRF19,DRF20,DRF21,DRF22,DRF23,DRF24,DRF25,DRF26,DRF27,DRF28,DRF29,DRF30,DRF31,Grand Total
1981,8,25,33,13,45,13,19,36,12,10,23,8,32,35,6,37,2,18,4,5,4,2,0,0,10,0,65,19,20,31,39,574
1982,18,47,5,11,0,23,94,22,12,0,3,4,39,3,30,0,10,19,34,21,23,0,10,18,5,8,15,5,16,15,18,528
1983,0,8,0,3,45,68,22,4,15,14,106,19,5.2,20,15,20,21,39,0,14,20.5,37.5,18.5,37,12,16.9,0,20,88,9,8.6,706.2
1984,10,10.5,8.8,17.2,44.5,101.3,0,7.5,38,105,6,5.5,10,49.2,23.5,6.5,16,16,14,21,42,0,30.2,6.2,10,2,7.5,8,7.3,8,0,631.7
1985,17.700000000000003,10.7,21.799999999999997,0,0,26.4,9.4,4.2,20.6,2,22,0,8,30.2,1,2,0,0,15,1,19.299999999999997,23.3,0,36.2,41.1,3.2,31.4,82.6,52.1,16,0,497.20000000000005
1986,18.3,58.599999999999994,43.1,30.1,10.4,79.7,15,32,16,16.8,44.9,21.5,14.4,11.5,22.400000000000002,31.099999999999998,42.3,18.7,29.800000000000004,2.1,0,0,40.2,12.5,33.4,0,55,30,30.4,29.2,2.2,791.6
1987,12,20,47.2,0,52,35.5,137,0,60.2,1.2,12,34.5,3.5,32.4,8.5,0,71.3,15.3,3.2,134,10,2,71,50.5,75,2.3,4,1.2,73,1,0,969.8
1988,0,19.7,3,12.2,43.2,0,44.3,25,35,6,27.2,1.4,43.2,2.1,79.4,2,21,55.800000000000004,15.2,7.2,5,4.300000000000001,19.4,20,28,41.4,11.2,6.2,1.1,2.2,0,581.7000000000002
1989,8.2,46,0,38,0,20,59,0,11,0,0,22.2,55,0,24,17,8.4,45.1,12.3,20,46,18,48,2,2,3.3,32.4,0,3,26,25,591.9
1990,2,3,2.2,6,1.2,6,1,8,6,6.4,4,2,4,21,42,3,7,3.4,15,21,4,0,2,15,43.4,0,47,4,9.2,3,6,297.8
1991,7,5,0,13,38,3,15,13,6,80,17,1,1.4,1.2,0,7,9.2,9.6,0,16,27,13,2,6,34,4,41,87,34.2,61,20,571.5999999999999
1992,41.2,42,77.5,30,8,42.4,46,28,29.4,37,7,7.4,3,15,38,104.6,13.4,4,47.6,114,37,2,1,30.2,0,0,36,77,37,5,9,969.7
1993,36.2,8.4,16,54.8,24,6,0,15,30.5,0,7,29.6,15,18,109.8,20.200000000000003,22,41.4,36.2,25,59,17.4,22.6,25,8.6,9.6,0,0,0,12.6,9.6,679.5
1994,5.2,44,27,4.5,6,22.8,22,7.8,25.4,4,38.4,35.3,60,24,50.2,26.6,44.1,24.4,5,0,3,5,0,10.6,4,2,97,29.6,21,10,0,658.9000000000001
1995,23.7,48.5,19,16.2,6.3,58,22.2,2,6.3,3,9,9.3,4,2,0,0,24,1.2,6.3,61.5,1,7,12.3,23,20,6,0,8,29,19.299999999999997,10.5,458.6
1996,6,52,16,0,16,2,14,23,4.2,8.2,18,7.3,4,8,17,27.7,6.1,23.200000000000003,58.5,5.3,16,25,20.2,23.1,4.2,3.6,5.3,0,44,75.6,0,533.5
1997,16,32,166.4,9,43,6,23,111,10,16.5,33,0,36.6,20,0,6,8,92,10,0,33,114,32,71.2,61,65.4,117,14,11,51,0,1208.1
1998,30,26.2,121,49,11,20,21,31,7,48,29,19,10,8,10,45,0,125,66,15,0,9,12,56,8,126,20,28,22,20,0,992.2
1999,35,57,9,8,77,40,15,0,17,16,14,22,52,5,59.6,20,38,27,31,8,12,9,86,36,44,70,14,5,90,59,8,983.6
2000,14,42,4,49,58,67,65,34,25,4,6,37,11,43,11,21,2,9,6,20,62,28,52,4,17,8,60,0,0,18,0,777
2001,7,0,3,7.1,10,6,10,14,9,3,3,25,11,15,100,10.6,75,19,2.8,41.2,0,5,40,7,3,16,9,34,13,3,0,501.7
2002,11,94,3,7,3,1,5,2,56,18,21,11,9,9,13,15.2,26.4,1,1,20,2,0,0,16,0,52.2,0,0,16,45,15,472.79999999999995
2003,29,23,0,4.2,22.1,5.1,29,8,0,3,0,0,14,0,4,19,7,16,3,33,26,25,31,5,3,5.4,2,8,11.4,0,5,341.19999999999993
2004,35,26,37.5,24.2,44.2,29,20.5,3.2,9.4,16.4,8,13.4,12.4,31,40.8,17,7.2,10.8,11.2,0,0.4,8,4.2,58.2,41,7.6,22.4,66.5,7,59,10,681.4999999999999
2005,13,17.5,24.5,16,9,4.5,0.5,2,18,10,4,22,59,23.4,47,14.9,53,0,8,8.5,16.6,15,36,16,9,33,36.5,61.5,5.1,32,42,657.5
2006,10,8,45,5,24.3,5.1,27,33.4,42.8,53,6,0,3,12,5,11.5,19.9,16.5,25,6,0,18,0,0,0,0,9,3,3.5,9.1,4,405.09999999999997
2007,5,3,2,34.7,2.5,19,33.2,9,9.5,11,6.3,11,15,0,40.3,16,0,48.7,0,33,27,23,55,25,16.1,7.699999999999999,3,35.6,30,49,5.5,576.1
2008,13.5,58.2,0,5.1,3,7.1,1,0,16.3,38.5,21.599999999999998,29.3,73.1,5,27.2,26.4,1,0,25.2,10.5,7,18.1,27.3,52.5,3,27.8,13.5,34,60.8,25.5,20,651.5
2009,12.5,23.5,8,4.5,15.399999999999999,11.3,12.5,10.399999999999999,1.2,20.3,1.5,3.5,4.8,11.3,46.5,26,39.400000000000006,44.7,22,62.1,23,80.9,4,0.5,0,13.5,0,4,7.2,4.3,0,518.8000000000001
2010,45.89999999999999,5.3,46,25.000000000000004,4.2,13,1.5,52.6,18.599999999999998,81.7,44.400000000000006,23.4,37.099999999999994,5.8,16.3,7.2,8.7,7.9,13.399999999999999,35.4,11.2,72.3,24.599999999999998,54,27,24.6,113.7,22,22.6,14.2,19.7,899.3000000000001
2011,14.7,43.5,61,37.9,23.9,15.899999999999999,1.5,0,0,12.5,15.7,31.2,8.7,25.6,18.5,27.1,3,52.3,17.5,0,3.6,20.2,1,19.8,6.7,18.2,16.4,18.2,26.7,13.3,13.7,568.3000000000001
2012,34.7,17.9,19.6,3.2,10.5,0,8.4,15.7,0,4.5,16.5,4.1,3,0,0,4.5,8.2,7.5,1.6,0,0,0,0,8,0,71.6,61.9,29.5,0,22.5,0,353.4
2013,29.599999999999998,115.9,47.5,31.4,25.700000000000003,15,42.4,165.8,22.8,32,21.9,31.2,28.099999999999998,9.8,22.8,8.4,5.4,8.600000000000001,48.4,81.2,24.7,10.2,3.1,28,19.6,4.4,29.2,6.3,15,0,5,939.4000000000001
2014,15.2,32.3,61,7.1,45,65,32.1,2.1,57.1,2.1,28,4,9,18,25,15.3,15,7,24.2,54.3,25.1,33.2,19,20.400000000000002,44.1,73.39999999999999,24.4,47.2,59,4.2,27.6,896.4000000000002
2015,93.1,108.39999999999999,35.3,13.4,26.299999999999997,99.2,47.1,26,2.1,3.1,10.1,8,24.6,6.3,2.1,3,66.5,12.3,32.1,17.2,10.3,8.2,35.1,16.3,43.5,81,6.199999999999999,10.4,0,14.7,0,861.9000000000002
2016,3.1,5.1,10.2,4.3,6.300000000000001,7.199999999999999,4.8,6.2,21.5,8.9,9.2,4.1,52,21,11.7,0,0,4.1,0,0,0,0,2.1,0,0.2,0,8,20,43.599999999999994,52.3,0,305.9
2017,4,22.3,4.3,7.4,48.400000000000006,0,26.299999999999997,27.1,16.400000000000002,31,0,36.5,24.2,21,122.1,18.3,2,16.4,9.3,5.2,9.6,5.1,0,23.5,10.3,3.1,33.3,42.300000000000004,4.3,2.1,23,598.8
