-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2003 through 12/31/2020 
Location: Latitude  13.16   Longitude 76.56 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 874.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
2003,1,1,0.0
2003,1,2,0.0
2003,1,3,0.0
2003,1,4,0.0
2003,1,5,0.0
2003,1,6,0.0
2003,1,7,0.0
2003,1,8,0.0
2003,1,9,0.0
2003,1,10,0.0
2003,1,11,0.0
2003,1,12,0.0
2003,1,13,0.0
2003,1,14,0.0
2003,1,15,0.0
2003,1,16,0.0
2003,1,17,0.0
2003,1,18,0.0
2003,1,19,0.0
2003,1,20,0.0
2003,1,21,0.0
2003,1,22,0.0
2003,1,23,0.0
2003,1,24,0.0
2003,1,25,0.0
2003,1,26,0.0
2003,1,27,0.0
2003,1,28,0.0
2003,1,29,0.0
2003,1,30,0.0
2003,1,31,0.0
2003,2,1,0.03
2003,2,2,0.01
2003,2,3,0.51
2003,2,4,0.0
2003,2,5,0.0
2003,2,6,0.0
2003,2,7,1.04
2003,2,8,0.27
2003,2,9,0.02
2003,2,10,0.0
2003,2,11,0.0
2003,2,12,0.0
2003,2,13,0.0
2003,2,14,0.27
2003,2,15,0.27
2003,2,16,0.0
2003,2,17,0.0
2003,2,18,0.0
2003,2,19,0.0
2003,2,20,0.0
2003,2,21,0.0
2003,2,22,0.0
2003,2,23,0.0
2003,2,24,1.15
2003,2,25,3.2
2003,2,26,1.25
2003,2,27,0.05
2003,2,28,0.0
2003,3,1,0.44
2003,3,2,0.05
2003,3,3,0.0
2003,3,4,0.0
2003,3,5,0.0
2003,3,6,0.0
2003,3,7,0.0
2003,3,8,0.0
2003,3,9,0.0
2003,3,10,0.0
2003,3,11,0.0
2003,3,12,0.0
2003,3,13,0.0
2003,3,14,0.37
2003,3,15,0.9
2003,3,16,0.14
2003,3,17,0.51
2003,3,18,1.28
2003,3,19,2.56
2003,3,20,0.57
2003,3,21,0.19
2003,3,22,0.04
2003,3,23,0.0
2003,3,24,0.0
2003,3,25,0.0
2003,3,26,0.0
2003,3,27,0.0
2003,3,28,0.69
2003,3,29,0.41
2003,3,30,0.0
2003,3,31,0.0
2003,4,1,1.17
2003,4,2,1.18
2003,4,3,0.55
2003,4,4,1.42
2003,4,5,0.24
2003,4,6,0.0
2003,4,7,0.0
2003,4,8,0.0
2003,4,9,3.35
2003,4,10,1.91
2003,4,11,0.23
2003,4,12,0.94
2003,4,13,0.17
2003,4,14,0.0
2003,4,15,0.02
2003,4,16,0.15
2003,4,17,0.09
2003,4,18,0.09
2003,4,19,3.84
2003,4,20,0.82
2003,4,21,1.22
2003,4,22,0.15
2003,4,23,0.01
2003,4,24,4.32
2003,4,25,1.14
2003,4,26,0.0
2003,4,27,0.0
2003,4,28,21.43
2003,4,29,3.77
2003,4,30,1.35
2003,5,1,1.47
2003,5,2,1.0
2003,5,3,0.42
2003,5,4,0.29
2003,5,5,0.02
2003,5,6,0.76
2003,5,7,0.57
2003,5,8,0.0
2003,5,9,0.0
2003,5,10,0.02
2003,5,11,0.88
2003,5,12,0.27
2003,5,13,0.18
2003,5,14,0.15
2003,5,15,0.07
2003,5,16,0.01
2003,5,17,0.0
2003,5,18,0.0
2003,5,19,0.0
2003,5,20,0.0
2003,5,21,0.0
2003,5,22,0.0
2003,5,23,0.01
2003,5,24,0.0
2003,5,25,0.1
2003,5,26,0.05
2003,5,27,0.01
2003,5,28,0.04
2003,5,29,0.01
2003,5,30,0.0
2003,5,31,0.23
2003,6,1,1.81
2003,6,2,0.46
2003,6,3,0.0
2003,6,4,6.36
2003,6,5,1.08
2003,6,6,0.94
2003,6,7,7.95
2003,6,8,25.36
2003,6,9,15.66
2003,6,10,4.24
2003,6,11,2.45
2003,6,12,3.45
2003,6,13,3.96
2003,6,14,9.01
2003,6,15,18.7
2003,6,16,13.64
2003,6,17,7.54
2003,6,18,19.99
2003,6,19,31.09
2003,6,20,30.57
2003,6,21,62.59
2003,6,22,48.3
2003,6,23,24.44
2003,6,24,14.08
2003,6,25,3.4
2003,6,26,0.84
2003,6,27,3.31
2003,6,28,10.41
2003,6,29,6.21
2003,6,30,8.23
2003,7,1,11.13
2003,7,2,5.2
2003,7,3,4.2
2003,7,4,7.68
2003,7,5,25.64
