timestamp,maxtemp,mintemp
2003-01-01,26.0,13.6
2003-01-02,27.6,13.6
2003-01-03,27.0,14.4
2003-01-04,26.4,15.6
2003-01-05,27.0,15.0
2003-01-06,28.4,15.4
2003-01-07,27.8,14.8
2003-01-08,27.2,15.2
2003-01-09,29.0,16.6
2003-01-10,28.6,15.0
2003-01-11,26.0,17.4
2003-01-12,28.2,17.6
2003-01-13,27.2,14.8
2003-01-14,25.6,15.0
2003-01-15,27.2,14.6
2003-01-16,26.4,15.0
2003-01-17,26.0,14.6
2003-01-18,26.2,14.8
2003-01-19,28.2,16.0
2003-01-20,29.8,16.0
2003-01-21,30.2,17.4
2003-01-22,29.8,18.0
2003-01-23,30.2,16.6
2003-01-24,30.2,15.4
2003-01-25,30.6,16.4
2003-01-26,30.0,15.6
2003-01-27,28.6,14.8
2003-01-28,28.6,14.8
2003-01-29,29.4,15.6
2003-01-30,29.4,13.4
2003-01-31,30.2,14.8
2003-02-01,29.6,16.4
2003-02-02,30.6,16.0
2003-02-03,29.0,18.2
2003-02-04,29.8,17.4
2003-02-05,29.4,18.4
2003-02-06,29.4,18.6
2003-02-07,29.6,18.6
2003-02-08,29.4,16.8
2003-02-09,30.4,17.0
2003-02-10,30.6,18.2
2003-02-11,30.4,18.4
2003-02-12,30.6,16.4
2003-02-13,30.8,17.8
2003-02-14,31.2,18.2
2003-02-15,31.2,18.2
2003-02-16,32.6,18.8
2003-02-17,31.6,19.0
2003-02-18,33.2,18.8
2003-02-19,32.2,17.8
2003-02-20,31.2,18.4
2003-02-21,31.4,19.0
2003-02-22,32.0,19.0
2003-02-23,31.8,20.0
2003-02-24,31.8,20.0
2003-02-25,31.4,20.0
2003-02-26,31.6,19.4
2003-02-27,31.2,19.0
2003-02-28,31.6,20.0
2003-03-01,28.8,19.4
2003-03-02,31.4,19.0
2003-03-03,32.0,19.4
2003-03-04,32.6,18.6
2003-03-05,33.4,19.4
2003-03-06,32.8,19.4
2003-03-07,32.6,18.8
2003-03-08,32.4,19.0
2003-03-09,32.4,19.0
2003-03-10,32.6,19.6
2003-03-11,33.0,20.2
2003-03-12,34.0,20.0
2003-03-13,32.8,19.6
2003-03-14,32.8,21.0
2003-03-15,32.2,21.4
2003-03-16,33.0,20.8
2003-03-17,32.0,19.4
2003-03-18,33.2,19.6
2003-03-19,32.6,20.2
2003-03-20,33.0,20.6
2003-03-21,31.2,19.8
2003-03-22,32.2,21.2
2003-03-23,32.2,18.8
2003-03-24,33.0,18.4
2003-03-25,33.2,19.4
2003-03-26,33.4,20.0
2003-03-27,34.0,20.4
2003-03-28,33.6,21.8
2003-03-29,32.4,19.4
2003-03-30,32.0,20.4
2003-03-31,33.4,21.2
2003-04-01,34.0,20.8
2003-04-02,34.2,20.8
2003-04-03,33.2,21.4
2003-04-04,32.2,21.0
2003-04-05,31.2,20.0
2003-04-06,33.0,21.4
2003-04-07,33.6,21.4
2003-04-08,32.6,20.6
2003-04-09,33.0,21.6
2003-04-10,33.2,20.0
2003-04-11,33.2,21.2
2003-04-12,33.0,22.2
2003-04-13,31.4,20.4
2003-04-14,31.8,21.0
2003-04-15,33.6,21.2
2003-04-16,33.8,21.2
2003-04-17,34.2,21.6
2003-04-18,33.8,21.2
2003-04-19,34.0,22.0
2003-04-20,34.4,22.0
2003-04-21,34.0,21.4
